0.2277971226992202: {'no_components': 12, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.5}
0.2278107934389789: {'no_components': 26, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 1.5}
0.22783943003251536: {'no_components': 12, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 1.5}
0.22784520713725193: {'no_components': 22, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.0}
0.22785249684990855: {'no_components': 28, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 3.0}
0.2279093053862792: {'no_components': 22, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 1.5}
0.22809618458826436: {'no_components': 14, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.5}
0.22812938069258007: {'no_components': 30, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.0}
0.22841796937744938: {'no_components': 28, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 3.0}
0.22852491247564335: {'no_components': 18, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.0}
0.2286355674025641: {'no_components': 10, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.0}
0.22864971730348901: {'no_components': 18, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 1.5}
0.22869013044889494: {'no_components': 26, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.5}
0.22874283441357396: {'no_components': 22, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.5}
0.22877416624404007: {'no_components': 24, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.5}
0.22889407241035986: {'no_components': 20, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.5}
0.22897660494396693: {'no_components': 10, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.5}
0.22912184576008868: {'no_components': 24, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.0}
